aktualisierung;Text
"2 Wochen"; "Haben Sie sich auch schon mal gefragt, was Hashtag#Microsoft Teams eigentlich alles kann? So eine Übersicht über alle Funktionen wäre ganz schön hilfreich. Ja, finden wir auch! Am 5. Dezember zeigen wir Ihnen in unserem Webinar alle Vorteile. Melden Sie sich jetzt an. Hashtag#ModernWorkplace Hashtag#zukunftsstark"
"2 Wochen"; "Der Support für Windows 7, Windows Server 2008 und Windows Server 2008 R2 läuft im Januar 2020 aus. Unsere Empfehlung: Patchen Sie ihre Systeme umgehend und aktualisieren Sie diese auf neuere Versionen. Unsere Experten unterstützen Sie dabei gerne!"
"3 Wochen"; "Unser Kollegin Sabine Single ist IT Woman of the Year! Sie wurde gestern Abend vom Women's IT Network in der Kategorie Leadership CxO mit Gold ausgezeichnet. Herzlichen Glückwunsch! ?? Gratulation auch an alle anderen Siegerinnen des Abends! Hashtag#Bechtle Hashtag#zukunftsstark Hashtag#WomenInIT"
"3 Wochen"; "Florian Vees war auf der Microsoft Ignite in Orlando und hat einige Infos mitgebracht. Im ersten von vier Blogbeiträgen widmet er sich dem Megathema Produktivität. Wie geht Microsoft dieses Thema an?"
"3 Wochen"; "Next Generation Enterprise Network Alliance – klingt stark? Ist es auch. ?? Bechtle hat sich dem Partnerverbund ngena angeschlossen und ergänzt damit das Hashtag#Networking-Portfolio um einen vollständig verwalteten SD-WAN-as-a-Service-Dienst. Hashtag#ITZukunftspartner Hashtag#zukunftsstark"
"3 Wochen"; "Hashtag#Security-Lösungen für Datacenter sind vielschichtig und hochindividuell. Wie wohl die Datacenter Security bei Deutschlands größten IT-Systemhaus aussieht? Wir geben Einblicke."
"3 Wochen"; "Es war unserem Vorstand Michael Guschlbauer eine große Freude, als Pate in der Kategorie Mittelstand, Frau Dr. Anke Sax den Preis als CIO des Jahres zu überreichen. Herzlichen Glückwunsch an Hartmut Willebrand zu Platz 2 und Norman Brand sowie Bernd Preuschoff zu Platz 3. Sie stehen stellvertretend für die vielen sehr erfolgreichen CIOs, die herausfordernde IT-Projekte nicht als Bürde sehen, sondern als Chance, moderne Arbeitsplatzkonzepte und neue Geschäftsideen zu ermöglichen, um die gesamte Organisation stark für die Zukunft zu machen. Hashtag#CIOdesJahres Hashtag#cio19"
"3 Wochen"; "Der erste Platz bei den Austria`s Leading Companies ging an unsere superstarken Kolleginnen und Kollegen aus dem Hashtag#Bechtle IT-Systemhaus Österreich. Großartige Leistung! Hashtag#verbunden Hashtag#zukunftsstark https://lnkd.in/dS6GFsP"
"1 Monat"; "Trendforscher Franz Kühmayer übersetzt im Bechtle Magazin die bekanntesten IT-Irrtümer in wertvolle Erkenntnisse für die Hashtag#Zukunft."
"1 Monat"; "Warum Sie auf eine ganzheitliche Sicherheitsstrategie setzen sollten? Unser Experte Christian Grusemann gibt im Bechtle Webinar Antworten auf die dringendsten Fragen rund um IT-Security:"
"1 Monat"; "Sie wollen den Modern Digital Workplace einführen? Unser Experte Thorsten Krüger verrät Ihnen sechs hilfreiche Tipps:"
"1 Monat"; "Accenture DACH und DIE WELT veröffentlichen jährlich die Rangliste der 500 größten deutschen Unternehmen. Drei davon werden für ihr nachhaltiges Wachstum und ihre Zukunftsfähigkeit ausgezeichnet. Die Jury wählte Bechtle auf Platz 2! Dr. Thomas Olemotz nahm den Award vorgestern Abend in Berlin entgegen. Herzlichen Glückwunsch auch an United Internet AG zu Platz 1 und Infineon Technologies zu Platz 3. Hashtag#Bechtle Hashtag#zukunftsstark"
"1 Monat"; "Die vernetzte Welt wird immer komplexer. Security-Lösungen müssen nicht nur Schritt halten, sondern präventiv agieren und Entwicklungen antizipieren. Kontaktieren Sie unsere Experten, gemeinsam entwickeln wir das passende Security-Konzept für Ihr Unternehmen: https://lnkd.in/dRKXJw7"
"1 Monat"; "Erneuter Zuwachs in der Westschweiz: Wir verstärken uns mit der Codalis SA in den Bereichen Cloud, Mobility und Managed Services. Bienvenue au groupe Bechtle, chers collègues! Hashtag#herzlichwillkommen Hashtag#zukunftsstark"
"1 Monat"; "Der Modern Digital Workplace ist die Reduzierung auf das notwendigste Equipment – dennoch haben User den vollen Zugriff von außen. Informieren Sie sich über die Vorteile auch für Ihr Business: https://lnkd.in/du9RVXP"
"1 Monat"; "Zweistelliges Wachstum, 11.246 Mitarbeiter und die Aussicht auf ein weiteres Rekordjahr. Dr. Thomas Olemotz ordnet die starken Zahlen im Video-Statement ein! Zur Pressemeldung: http://bit.ly/2CF8jeq Hashtag#zukunftsstark"
"1 Monat"; "Effektiver lernen, kommunizieren und zusammenarbeiten: Wie auch Ihr Business von HoloLens 2 und Mixed Reality profitieren kann, erfahren Sie in unserem Interview: https://lnkd.in/g5Kdf9v"
"1 Monat"; "Bechtle bietet ein vielfältiges Security-Portfolio mit 50 Herstellern. Wie setzt sich das Portfolio zusammen und wie profitieren Sie von unserer Expertise? Mehr zu unserem IT-Security-Angebot: https://lnkd.in/d-KsgqE"
"1 Monat"; "Mixed Reality ist reif für Ihr Business. Ab jetzt bei Bechtle – die neue HoloLens 2: https://lnkd.in/dJTgNSi Hashtag#zukunftsstark"
